iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,10a,252.365,10.552,262.917,1.8375
1,10b,139.061,3.449,142.51,2.4455
1,10c,7074.41,3.429,7077.839,5.7434
1,11a,57.519,5.622,63.141,18.1154
1,11b,20.547,4.912,25.459,10.5471
1,11c,103.961,5.211,109.172,13.4733
1,11d,91.537,5.151,96.688,6.8368
1,12a,104.482,5.437,109.919,5.6684
1,12b,38.24,5.878,44.118,3.419
1,12c,315.24,5.406,320.646,11.5422
1,13a,606.155,8.376,614.531,5.1741
1,13b,275.11,8.686,283.796,6.2289
1,13c,264.984,8.57,273.554,3.6061
1,13d,940.703,8.632,949.335,5.0759
1,14a,243.076,5.371,248.447,21.3898
1,14b,109.932,4.815,114.747,4.1078
1,14c,414.992,5.14,420.132,25.1027
1,15a,155.566,11.663,167.229,3.0283
1,15b,18.845,11.338,30.183,3.5767
1,15c,605.889,12.317,618.206,3.6553
1,15d,307.73,12.577,320.307,5.8831
1,16a,156.421,6.309,162.73,8.5075
1,16b,10057.537,6.174,10063.711,37.073
1,16c,885.438,6.212,891.65,24.3997
1,16d,723.646,6.393,730.039,24.9874
1,17a,7056.365,3.915,7060.28,35.9395
1,17b,5361.638,4.161,5365.799,31.2046
1,17c,5229.39,4.019,5233.409,33.5948
1,17d,5328.917,3.993,5332.91,54.1499
1,17e,7095.316,3.907,7099.223,35.6406
1,17f,6567.632,4.109,6571.741,37.6148
1,18a,2536.616,3.877,2540.493,5.563
1,18b,112.218,3.937,116.155,5.9781
1,18c,3277.283,3.911,3281.194,7.5543
1,19a,131.832,18.858,150.69,9.8205
1,19b,63.595,15.068,78.663,8.4129
1,19c,1005.107,20.696,1025.803,11.3543
1,19d,3192.968,21.243,3214.211,6.129
1,1a,41.519,2.08,43.599,1.5607
1,1b,36.594,1.648,38.242,7.9545
1,1c,38.685,1.691,40.376,1.9086
1,1d,36.635,1.677,38.312,8.4569
1,20a,2012.983,11.564,2024.547,15.5797
1,20b,1571.217,11.828,1583.045,14.2331
1,20c,866.308,12.274,878.582,19.8577
1,21a,56.399,11.919,68.318,23.3651
1,21b,37.682,10.994,48.676,16.1667
1,21c,38.897,11.219,50.116,22.9058
1,22a,302.783,29.305,332.088,29.7569
1,22b,215.659,29.85,245.509,12.0574
1,22c,906.563,30.034,936.597,50.9815
1,22d,560.417,31.599,592.016,48.4399
1,23a,195.34,28.628,223.968,5.0458
1,23b,41.868,27.003,68.871,5.5679
1,23c,189.265,27.87,217.135,1.9236
1,24a,304.254,56.048,360.302,21.3734
1,24b,15.823,50.916,66.739,4.2373
1,25a,1500.761,10.467,1511.228,45.904
1,25b,191.633,10.029,201.662,6.2503
1,25c,5302.413,10.77,5313.183,60.3968
1,26a,12179.526,48.986,12228.512,17.0993
1,26b,151.696,48.866,200.562,11.7425
1,26c,1103.705,48.919,1152.624,12.2682
1,27a,13.017,48.92,61.937,3.3333
1,27b,5.574,47.118,52.692,4.1487
1,27c,16.694,49.299,65.993,3.087
1,28a,855.351,60.982,916.333,71.1659
1,28b,444.604,58.055,502.659,58.8041
1,28c,896.501,61.145,957.646,53.0267
1,29a,54.02,71.263,125.283,7.7208
1,29b,8.839,71.479,80.318,3.3953
1,29c,713.921,77.289,791.21,68.8643
1,2a,310.101,1.914,312.015,31.5217
1,2b,294.655,2.069,296.724,36.7786
1,2c,277.355,2.059,279.414,8.7956
1,2d,383.992,2.077,386.069,31.75
1,30a,3687.935,51.874,3739.809,37.7648
1,30b,248.106,48.281,296.387,8.7455
1,30c,2153.237,50.534,2203.771,53.9099
1,31a,682.032,38.979,721.011,34.2144
1,31b,249.404,35.288,284.692,12.5577
1,31c,683.251,39.814,723.065,39.3635
1,32a,8.27,2.335,10.605,9.5469
