iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,10a,252.385,15.692,268.077,1.8375
1,10b,142.934,5.291,148.225,2.4455
1,10c,6954.507,4.984,6959.491,5.7434
1,11a,56.918,9.847,66.765,18.1154
1,11b,21.388,9.37,30.758,10.5471
1,11c,107.376,9.15,116.526,13.4646
1,11d,93.757,9.011,102.768,6.8438
1,12a,105.205,10.155,115.36,5.6684
1,12b,41.306,10.216,51.522,3.419
1,12c,314.015,10.503,324.518,11.5422
1,13a,605.165,13.747,618.912,5.1741
1,13b,276.346,15.991,292.337,6.2289
1,13c,92.007,16.046,108.053,2.7704
1,13d,929.372,13.643,943.015,5.0759
1,14a,243.458,9.831,253.289,21.3898
1,14b,112.437,9.875,122.312,4.1078
1,14c,413.89,9.487,423.377,25.1027
1,15a,155.001,22.039,177.04,3.0283
1,15b,20.142,22.548,42.69,3.5767
1,15c,607.482,22.025,629.507,3.6553
1,15d,308.574,20.472,329.046,5.8831
1,16a,155.081,9.353,164.434,8.5075
1,16b,10000.762,8.677,10009.439,37.073
1,16c,880.116,9.103,889.219,24.3997
1,16d,721.151,9.62,730.771,10.2368
1,17a,7042.588,5.352,7047.94,35.9395
1,17b,5382.738,5.287,5388.025,31.2046
1,17c,15683.203,5.318,15688.521,7.1942
1,17d,5321.608,5.025,5326.633,54.1499
1,17e,7075.057,5.169,7080.226,35.6406
1,17f,16276.963,5.302,16282.265,7.4067
1,18a,2527.873,5.889,2533.762,5.563
1,18b,112.912,6.92,119.832,5.9781
1,18c,3266.593,6.39,3272.983,7.5543
1,19a,132.585,43.544,176.129,9.8205
1,19b,58.191,41.075,99.266,8.4129
1,19c,1000.124,43.405,1043.529,11.3543
1,19d,3089.023,40.779,3129.802,6.129
1,1a,43.832,2.464,46.296,1.5607
1,1b,38.758,2.176,40.934,7.9545
1,1c,41.306,2.15,43.456,1.9086
1,1d,38.761,2.068,40.829,8.4569
1,20a,2001.563,24.593,2026.156,15.5797
1,20b,1571.502,25.098,1596.6,14.2331
1,20c,863.203,24.139,887.342,19.8577
1,21a,55.946,22.332,78.278,23.3651
1,21b,38.011,21.248,59.259,16.1667
1,21c,39.15,22.117,61.267,22.9058
1,22a,301.514,59.172,360.686,29.7569
1,22b,257.234,59.645,316.879,3.7886
1,22c,909.424,61.163,970.587,50.9815
1,22d,561.837,59.144,620.981,48.4399
1,23a,194.459,54.034,248.493,5.0458
1,23b,42.089,52.71,94.799,5.5679
1,23c,188.906,52.945,241.851,1.9236
1,24a,306.57,519.313,825.883,21.3734
1,24b,17.253,560.262,577.515,4.2373
1,25a,1484.191,19.203,1503.394,45.904
1,25b,192.02,20.251,212.271,6.2503
1,25c,5253.191,20.581,5273.772,60.3968
1,26a,12004.874,460.437,12465.311,17.0993
