iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q001,24.645,1.222,25.867,1.0
1,q002,408.099,0.458,408.557,1.9031
1,q003,110.637,0.476,111.113,2.1305
1,q004,124.681,0.475,125.156,2.1249
1,q005,298.016,0.507,298.523,1.752
1,q006,76.367,0.469,76.836,1.6255
1,q007,84.808,0.609,85.417,1.5772
1,q008,117.136,0.656,117.792,1.5679
1,q009,76.045,0.686,76.731,1.1486
1,q010,46.995,0.692,47.687,1.592
1,q011,39.206,0.697,39.903,1.8799
1,q012,67.274,0.71,67.984,2.5394
1,q013,27.821,0.711,28.532,2.1378
1,q014,13.642,0.684,14.326,3.7079
1,q015,353.514,0.669,354.183,1.1187
1,q016,38.501,0.679,39.18,1.7248
1,q017,8.299,0.619,8.918,1.6773
1,q018,32.71,0.681,33.391,1.1378
1,q019,20.918,0.56,21.478,1.0005
1,q020,56.648,0.616,57.264,1.1345
1,q021,40.757,0.609,41.366,1.983
1,q022,80.984,0.645,81.629,2.4494
1,q023,56.035,0.644,56.679,1.7852
1,q024,21.82,0.62,22.44,2.6919
1,q025,49.35,1.65,51.0,1.227
1,q026,31.962,1.331,33.293,1.1125
1,q027,21.831,1.639,23.47,2.5091
1,q028,566.107,1.307,567.414,1.1646
1,q029,71.791,1.405,73.196,1.4111
1,q030,17761.29,1.568,17762.858,8.0041
1,q031,1171.427,1.519,1172.946,3.9234
1,q032,695.213,1.69,696.903,2.4804
1,q033,42.914,1.691,44.605,4.9617
1,q034,18987.581,1.544,18989.125,2.8436
1,q035,376.288,1.681,377.969,3.076
1,q036,27.172,1.608,28.78,3.1756
1,q037,83.519,1.561,85.08,1.3425
1,q038,3272.188,1.645,3273.833,1.7911
1,q039,376.251,1.603,377.854,3.1906
1,q040,30.776,1.402,32.178,1.1915
1,q041,9.261,1.336,10.597,2.3195
1,q042,105.86,1.329,107.189,1.2206
1,q043,327.873,1.547,329.42,1.4159
1,q044,232.057,1.671,233.728,2.1608
1,q045,7.239,1.601,8.84,2.0636
1,q046,155.01,2.456,157.466,2.2273
1,q047,2055.963,2.428,2058.391,3.0468
1,q048,18.361,2.56,20.921,14.9677
1,q049,768.353,2.398,770.751,2.7046
1,q050,61.577,2.411,63.988,7.1684
1,q051,5457.006,2.452,5459.458,3.2221
1,q052,6395.959,2.524,6398.483,3.7739
1,q053,86.115,1.711,87.826,2.1903
1,q054,8.698,1.789,10.487,1.6152
1,q055,3.906,1.99,5.896,1.8527
1,q056,1522.99,2.415,1525.405,6.8726
1,q057,4790.078,1.817,4791.895,17.3646
1,q059,5253.902,3.171,5257.073,3.622
1,q060,544.506,2.669,547.175,1.4783
1,q061,106.157,2.607,108.764,2.0096
1,q062,28.683,2.589,31.272,3.3946
1,q063,41.434,2.748,44.182,1.9114
1,q064,166.862,2.838,169.7,3.0756
1,q065,36.988,2.837,39.825,2.4734
1,q066,160.49,2.861,163.351,3.0535
1,q067,11.336,2.976,14.312,3.1886
1,q068,44140.852,3.065,44143.917,4.2353
1,q069,4177.108,3.344,4180.452,2.2575
1,q070,14158.691,3.248,14161.939,8.3125
1,q071,2942.867,3.163,2946.03,3.3824
1,q072,178.943,3.158,182.101,2.9871
