iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q001,22.165,1.406,23.571,1.0
1,q002,421.358,1.013,422.371,1.9031
1,q003,112.898,1.268,114.166,2.1301
1,q004,76.422,1.064,77.486,13.0948
1,q005,309.595,1.013,310.608,1.8119
1,q006,477.279,1.148,478.427,51.5643
1,q007,111.828,1.47,113.298,317.6356
1,q008,111.681,1.571,113.252,9.7516
1,q009,76.456,1.474,77.93,2.5224
1,q010,160.864,1.858,162.722,19.1044
1,q011,38.908,2.157,41.065,2.2859
1,q012,66.921,1.728,68.649,1.5682
1,q013,27.956,1.559,29.515,2.192
1,q014,24.48,1.79,26.27,17.6924
1,q015,353.203,1.726,354.929,1.3237
1,q016,38.111,1.829,39.94,1.8354
1,q017,8.293,1.275,9.568,2.5194
1,q018,45.067,1.478,46.545,4.6389
1,q019,26.557,1.263,27.82,1.4678
1,q020,56.161,1.62,57.781,1.123
1,q021,48.637,1.589,50.226,12.9452
1,q022,362.082,1.581,363.663,10.788
1,q023,55.535,1.388,56.923,1.7852
1,q024,14.258,1.477,15.735,2.9904
1,q025,78.084,2.854,80.938,3.3758
1,q026,36.91,2.009,38.919,1.649
1,q027,27.652,3.157,30.809,2.0389
1,q028,595.252,1.866,597.118,1.4523
1,q029,70.305,2.706,73.011,1.8907
1,q030,17749.909,2.611,17752.52,5.605
1,q031,7839.491,2.719,7842.21,3.4209
1,q032,909.341,3.423,912.764,3.3741
1,q033,88525.776,4.774,88530.55,19.7014
1,q034,18460.213,4.177,18464.39,2.7828
1,q035,191.893,2.868,194.761,4.3862
1,q036,16.344,2.758,19.102,3.0643
1,q037,178.256,2.221,180.477,1.7172
1,q038,4922.984,2.877,4925.861,2.4112
1,q039,3264.024,3.297,3267.321,3.9966
1,q040,32.709,2.591,35.3,1.7886
1,q041,19.341,2.999,22.34,5.2579
1,q042,96.464,2.176,98.64,1.6308
1,q043,316.773,2.632,319.405,1.8692
1,q044,111.54,3.981,115.521,1.6096
1,q045,7.905,3.037,10.942,5.98
1,q046,67.859,5.686,73.545,1.8616
1,q047,136395.822,5.135,136400.957,11.3463
1,q048,8.1,5.339,13.439,12.2101
1,q049,2092.746,5.622,2098.368,3.3307
1,q050,17.105,5.721,22.826,6.9621
1,q051,3033.611,5.555,3039.166,7.189
1,q052,7540.937,5.828,7546.765,2.9268
1,q053,87.617,3.008,90.625,2.1381
1,q054,13.373,3.524,16.897,7.1535
1,q055,4.021,3.163,7.184,2.4602
1,q056,1395.685,3.017,1398.702,21.3442
1,q057,33.176,3.762,36.938,4.3307
1,q059,7717.06,7.948,7725.008,4.9967
1,q060,521.59,4.537,526.127,1.6927
1,q061,79.685,7.51,87.195,2.05
1,q062,38.097,6.56,44.657,2.0401
1,q063,51.922,7.479,59.401,2.1238
1,q064,438.245,7.168,445.413,2.9516
1,q065,36.533,6.93,43.463,3.1038
1,q066,304.796,7.484,312.28,2.5722
1,q067,24.895,7.889,32.784,3.511
1,q068,34349.919,5.33,34355.249,2.1159
1,q069,4788.127,6.47,4794.597,1.9247
1,q070,3108.239,8.44,3116.679,2.112
1,q071,7223.991,5.782,7229.773,2.256
1,q072,90.621,6.139,96.76,2.9395
1,q073,2062.022,7.213,2069.235,3.5414
1,q074,2177.689,6.246,2183.935,2.3141
1,q075,261.563,7.822,269.385,1.813
1,q076,125.911,7.11,133.021,2.416
1,q077,277.757,7.36,285.117,1.9296
1,q078,56.033,5.887,61.92,4.8419
1,q079,223.274,6.046,229.32,2.0959
1,q080,122.437,2.182,124.619,2.2043
1,q081,79.819,1.809,81.628,1.7966
1,q082,112.293,1.788,114.081,1.3969
1,q083,117.956,1.722,119.678,1.3295
1,q084,524.239,1.758,525.997,2.7444
1,q085,362.261,1.515,363.776,2.6443
1,q086,111.735,1.955,113.69,2.2255
1,q087,49.361,1.692,51.053,2.422
1,q088,428.533,1.717,430.25,2.0581
1,q089,88.282,1.796,90.078,1.7945
1,q090,108.067,1.814,109.881,1.2356
1,q091,317.526,1.744,319.27,1.5422
1,q092,48.264,1.519,49.783,2.1477
1,q093,71.528,1.605,73.133,2.4066
1,q094,42.714,1.437,44.151,2.2283
1,q095,319.229,2.183,321.412,2.2387
1,q096,181.411,2.648,184.059,1.3971
1,q097,2844.531,3.659,2848.19,6.1787
1,q098,1414.055,2.795,1416.85,2.2419
1,q099,80.144,2.585,82.729,2.6569
1,q100,66.937,2.467,69.404,2.1851
1,q101,101.591,2.695,104.286,1.6887
1,q102,147.636,2.204,149.84,1.6927
1,q103,179.14,2.81,181.95,2.7999
1,q104,807.687,2.685,810.372,2.4193
1,q105,11501.487,2.861,11504.348,2.7135
1,q106,582.918,3.276,586.194,1.784
1,q107,49731.754,2.96,49734.714,7.6503
1,q109,91.895,4.63,96.525,2.1477
1,q110,62.263,4.066,66.329,1.6022
1,q111,126.177,4.226,130.403,1.4933
1,q112,121.767,4.292,126.059,1.4622
1,q113,700.813,2.385,703.198,1.3712
1,q114,721.493,3.277,724.77,1.4986
1,q115,1562.128,2.895,1565.023,1.5773
1,q116,196.534,2.845,199.379,2.3756
1,q117,66.98,2.446,69.426,2.4137
1,q118,96.066,2.643,98.709,1.4068
1,q119,151.276,2.864,154.14,1.6402
1,q121,110.1,3.929,114.029,2.1958
1,q123,4685.027,2.565,4687.592,3.6254
1,q124,241.53,2.826,244.356,3.616
1,q125,29.633,2.992,32.625,3.2612
1,q127,67.175,5.133,72.308,1.7769
1,q128,79.928,5.799,85.727,2.1253
1,q129,100.537,4.765,105.302,1.4386
1,q130,46.939,4.228,51.167,2.1508
1,q131,94689.63,5.937,94695.567,7.7464
1,q132,39.642,6.772,46.414,4.0349
1,q133,712.947,5.46,718.407,6.487
1,q134,44.33,5.91,50.24,11.9877
1,q135,102271.83,5.076,102276.906,4.8458
1,q137,45.746,4.929,50.675,2.1022
1,q138,825.224,3.392,828.616,6.3604
1,q139,250.045,5.995,256.04,1.4372
1,q140,5665.06,13.717,5678.777,2.6532
1,q141,11015.025,10.518,11025.543,1.8417
1,q142,13117.578,14.192,13131.77,1.859
1,q143,7908.071,12.607,7920.678,2.128
1,q144,990.024,5.504,995.528,1.9432
1,q145,89.973,8.259,98.232,1.6499
1,q146,139.38,7.613,146.993,1.3616
2,q001,10.952,0.953,11.905,1.8858
2,q002,421.683,1.05,422.733,2.2178
2,q003,108.785,1.08,109.865,1.4641
2,q004,126.738,1.063,127.801,1.3854
2,q005,299.722,1.002,300.724,2.2627
2,q006,86.058,1.139,87.197,1.3884
2,q007,84.458,1.46,85.918,1.0478
2,q008,113.241,1.613,114.854,1.2969
2,q009,83.29,1.567,84.857,1.4293
2,q010,48.944,1.906,50.85,1.3119
2,q011,54.913,2.229,57.142,1.5604
2,q012,75.666,1.752,77.418,1.5403
2,q013,27.958,1.582,29.54,2.5119
2,q014,13.927,1.723,15.65,3.0445
