iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q01_s111,1328.5,0.797,1329.297,1.3337
1,q01_s123,1337.471,0.288,1337.759,1.3335
1,q01_s1337,1319.733,0.264,1319.997,1.3339
1,q01_s17,1332.272,0.265,1332.537,1.3336
1,q01_s2024,1339.323,0.276,1339.599,1.3336
1,q01_s222,1336.316,0.271,1336.587,1.3336
1,q01_s321,1333.605,0.285,1333.89,1.3336
1,q01_s333,1328.383,0.268,1328.651,1.3339
1,q01_s42,1326.76,0.257,1327.017,1.3337
1,q01_s444,1328.584,0.266,1328.85,1.3337
1,q01_s456,1317.135,0.269,1317.404,1.3341
1,q01_s55,1331.928,0.264,1332.192,1.3336
1,q01_s555,1336.765,0.261,1337.026,1.3333
1,q01_s654,1342.388,0.283,1342.671,1.3333
1,q01_s666,1327.091,0.257,1327.348,1.3337
1,q01_s7,1322.456,0.281,1322.737,1.334
1,q01_s777,1331.783,0.293,1332.076,1.3336
1,q01_s789,1320.908,0.287,1321.195,1.3339
1,q01_s987,1324.721,0.262,1324.983,1.3339
1,q01_s99,1343.987,0.261,1344.248,1.3333
1,q02_s111,53608.996,1.117,53610.113,1.6522
1,q02_s123,53243.127,1.047,53244.174,1.6416
1,q02_s1337,54468.509,1.101,54469.61,1.6501
1,q02_s17,50986.219,1.042,50987.261,1.6342
1,q02_s2024,56031.934,1.052,56032.986,1.6657
1,q02_s222,55108.648,1.055,55109.703,1.651
1,q02_s321,50722.66,1.055,50723.715,1.6345
1,q02_s333,48495.23,1.061,48496.291,1.6275
1,q02_s42,54494.416,1.087,54495.503,1.6516
1,q02_s444,51973.07,1.068,51974.138,1.6442
1,q02_s456,50797.152,1.061,50798.213,1.6473
1,q02_s55,50076.437,1.038,50077.475,1.6328
1,q02_s555,53046.762,1.024,53047.786,1.6358
1,q02_s654,54197.272,1.019,54198.291,1.6383
1,q02_s666,54893.251,1.053,54894.304,1.6461
1,q02_s7,52977.553,1.064,52978.617,1.6509
1,q02_s777,50406.355,1.046,50407.401,1.646
1,q02_s789,51959.221,1.046,51960.267,1.6504
1,q02_s987,51896.185,1.029,51897.214,1.6343
1,q02_s99,51886.671,1.04,51887.711,1.6394
1,q03_s111,322.239,0.384,322.623,5.1646
1,q03_s123,321.691,0.378,322.069,5.2042
1,q03_s1337,319.23,0.36,319.59,5.1609
1,q03_s17,323.885,0.367,324.252,5.2399
1,q03_s2024,321.283,0.372,321.655,5.1609
1,q03_s222,318.848,0.361,319.209,5.1756
1,q03_s321,319.465,0.359,319.824,5.1594
1,q03_s333,320.569,0.352,320.921,5.2435
1,q03_s42,320.046,0.37,320.416,5.1542
1,q03_s444,318.016,0.37,318.386,5.2486
1,q03_s456,318.869,0.369,319.238,5.1833
1,q03_s55,319.117,0.35,319.467,5.1609
1,q03_s555,318.943,0.353,319.296,5.2032
1,q03_s654,320.964,0.352,321.316,5.1785
1,q03_s666,319.103,0.362,319.465,5.201
1,q03_s7,317.974,0.361,318.335,5.1523
1,q03_s777,321.105,0.371,321.476,5.1856
1,q03_s789,319.3,0.362,319.662,5.1725
1,q03_s987,319.849,0.371,320.22,5.2663
1,q03_s99,320.755,0.342,321.097,5.1993
1,q04_s111,446.932,0.308,447.24,1.5729
1,q04_s123,445.528,0.309,445.837,1.5725
1,q04_s1337,441.951,0.306,442.257,1.5733
1,q04_s17,441.426,0.326,441.752,1.5669
1,q04_s2024,444.014,0.31,444.324,1.5706
1,q04_s222,442.616,0.315,442.931,1.5753
1,q04_s321,447.056,0.312,447.368,1.5676
1,q04_s333,443.668,0.317,443.985,1.5732
1,q04_s42,441.814,0.298,442.112,1.5733
1,q04_s444,437.09,0.308,437.398,1.5729
1,q04_s456,444.129,0.295,444.424,1.5723
1,q04_s55,437.093,0.316,437.409,1.5733
1,q04_s555,438.599,0.322,438.921,1.5645
1,q04_s654,440.637,0.31,440.947,1.5721
1,q04_s666,437.025,0.302,437.327,1.5692
1,q04_s7,441.243,0.291,441.534,1.5771
1,q04_s777,438.62,0.342,438.962,1.5676
1,q04_s789,442.458,0.33,442.788,1.5707
1,q04_s987,439.905,0.314,440.219,1.5649
1,q04_s99,445.497,0.299,445.796,1.5712
1,q05_s111,281.27,1.368,282.638,1.4785
1,q05_s123,279.778,1.307,281.085,1.4841
1,q05_s1337,279.048,1.317,280.365,1.4866
1,q05_s17,283.16,1.309,284.469,1.4783
1,q05_s2024,279.819,1.336,281.155,1.4856
1,q05_s222,280.057,1.314,281.371,1.476
1,q05_s321,283.941,1.315,285.256,1.4832
1,q05_s333,279.557,1.309,280.866,1.4841
1,q05_s42,279.539,1.32,280.859,1.4948
1,q05_s444,278.351,1.332,279.683,1.4832
1,q05_s456,281.659,1.304,282.963,1.4853
